ACCE_ABSORB_COST	 я«бнЁ «бѕгћ: %d
FISHING_SUCCESS2	бёѕ ”Ќ»  %s гд «бг«Ѕ!
FISHING_UNKNOWN	н»ѕж √д ‘н∆«р г« Џ÷ш «б”д«—…° бядн √ћеб г«ен е.
FISHING_WRONG_PLACE	б« нгядя «б’нѕ ед«.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	бёѕ Ќ’б  Џбм »—«Џг √ёЌж«д.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	бёѕ Ќ’б  Џбм »—«Џг «бд—ћ”.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	бёѕ Ќ’б  Џбм »–ж— “е—….
FLOWER_EVENT_GET_SHOOT_LILY	бёѕ Ќ’б  Џбм »—«Џг «б“д»ё.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	бёѕ Ќ’б  Џбм »—«Џг “д»ё «бж«ѕн.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	бёѕ Ќ’б  Џбм »—«Џг ѕж«— «б‘г”.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	б« нгядя «” ќѕ«г е–« «б»дѕ б√д бѕня »«бЁЏб «бЌѕ «б√ё’м гд «б»—«Џг.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	бн” бѕня гя«д Ё«—џ Ён ё«∆г… «бћ—ѕ.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	бн” бѕня г« няЁн гд «б»—«Џг.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	бн” бѕня г« няЁн гд »–ж— “е—….
FLOWER_EVENT_USE_ITEM_TEXT1	еб  жѕ «” »ѕ«б «б √Ћн— «бЁЏ«бњ
FLOWER_EVENT_USE_ITEM_TEXT2	нгяд ббЏгбн… √д  Ё‘б г”»»… –»жб «б“е—….
FOR_FEMALE	бб≈д«Ћ
FOR_MALE	бб–яж—
FRAGMENT_COMB_COST	 я«бнЁ «бѕгћ: %s
GAME_CANNOT_MINING	б« нгядя «” ќ—«ћ «бгЏѕд «бќ«г √Ћд«Ѕ —яж» «бќнб.
GAME_CANNOT_PICK_ITEM	б«  ” ЎнЏ «бЌ’жб Џбм е–« «б‘нЅ б√д б«Џ»«р ¬ќ— џдге.
GAME_GUILDWAR_NOW_JOIN	еб  —џ» Ён «б«д÷г«г ≈бм Ќ—» «б—ж«»Ўњ
GAME_INIT_ERROR_CURSOR	 Џ–— —”г гƒ‘— «бг«ж”.
GAME_INIT_ERROR_DIRECTX	нћ»  Ћ»н  DirectX 8.1 б ‘џнб «ббЏ»….\n »шцЋ DirectX 8.1 √ж √Џбм.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	 Џ–— «бЏЋж— Џбм »Ў«ё… ’ж— б ‘џнб «ббЏ»…. \n«б—ћ«Ѕ «б √яѕ гд √д »Ў«ё… «б’ж— Ён Ќ«”ж»я  ‘ џб »‘яб ’ЌнЌ VGA CARD.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	бёѕ  Џ–— «бЏЋж— Џбм »Ў«ё… «б’ж—. \n Ќёё ≈–« бѕня VGA-Card. \n нгядя »ѕб« Џд –бя «” Џг«б г”—Џ «б√ће“…. \n(÷Џ г”—Џ «б√ће“… Ён ”—Џ е« «бё’жм \nбжЌ… «б Ќяг -> Џ—÷> «бќн«—«  > г Ўж—> »Ў«ё… «б ”ћнб «” я‘«Ё «б√ќЎ«Ѕ ж≈’б«Ќе)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	б«  ѕЏг »Ў«ё… «б—”жг«  ббяг»нж — дў«г «бд«Ё–… Ён гжѕ 32 bit.\n«ќ — гжѕ 16 bit √ж «” Џгб дў«г «б‘«‘… «бя«гб….
GAME_INIT_ERROR_ITEM_PROTO	б«  жћѕ ед«я гЏбжг«  Џд е–« «б‘нЅ.\n«б—ћ«Ѕ ≈Џ«ѕ…  Ћ»н  «ббЏ»….
GAME_INIT_ERROR_MAIN_WINDOW	 Џ–— Џ—÷ «бд«Ё–… «б—∆н”н….
GAME_INIT_ERROR_MOB_PROTO	б«  жћѕ √н гЏбжг«  Џд «бжЌ‘.\n«б—ћ«Ѕ ≈Џ«ѕ…  Ћ»н  «ббЏ»….
GAME_INIT_ERROR_NETWORK	б« нгяд  ”ћнб »Ў«ё… «б« ’«б.\n«б—ћ«Ѕ «б Ќёё гд «б« ’«б Џ»— «б≈д —д .
GAME_PICK_MONEY	бёѕ Ќ’б  Џбм %d гд «бн«дџ.
GEM_SYSTEM_ADD_SLOT	«б»дѕ «бгЎбж»: %s.\nеб  жѕ ≈” ќѕ«г %d «б¬д бЁ Ќ ќ«д… √ќ—мњ
GEM_SYSTEM_BUY_ITEM	еб  жѕ ‘—«Ѕ е–« «б‘нЅњ
GEM_SYSTEM_NAME	џ«н«
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[џ«н«] бн” бѕня г« няЁн гд "≈Џ«ѕ…  Џннд г ћ— «бџ«н«".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[џ«н«] бн” бѕня г« няЁн гд «бџ«н«.
GEM_SYSTEM_NO_MORE_ADDSLOT	[џ«н«] б« нгядя Ё Ќ «бг“нѕ гд «бќ«д« .
GEM_SYSTEM_OPEN_GEMSHOP	[џ«н«] Џбня Ё Ќ г ћ— «бџ«н« √жб«.
GEM_SYSTEM_PICK_GEM	[џ«н«] Џѕѕ џ«н«: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	еб  —џ» Ён ≈Џ«ѕ… «б Џнндњ
GIVEUP_QUESTION	еб  —нѕ «б«” ”б«г Ќё«рњ
GUILDBANK_CLEARBANK	 Ќ–н—: нћ» ≈Ё—«џ г” жѕЏ «б—«»Ў…!
GUILDBANK_DONT_MONEY_OUT	бн” ед«я н«дџ Ён »дя «б—«»Ў…!
GUILDBANK_GOLD_IN	≈нѕ«Џ
GUILDBANK_GOLD_OUT	”Ќ»
GUILDBANK_ITEM_IN	≈ѕќ«б
GUILDBANK_ITEM_OUT	≈ќ—«ћ
GUILDBANK_MONEYIN	≈нѕ«Џ н«дџ
GUILDBANK_MONEYOUT	”Ќ» н«дџ
GUILDBANK_NOTUSE	б«  гбя «бЌёжё «бб«“г….
GUILDBANK_NOT_ENOUGH_MONEY	б«  гбя г« няЁн гд «бн«дџ б≈нѕ«Џе.
GUILDBANK_OVER_INCOME	ж’б  «бЌѕ «б√ё’м бЌ”«»я.
GUILDBANK_OVER_MONEY	Ќ”«» «б—«»Ў… гг б∆ Џд ¬ќ—е.
GUILDLAND_ABANDON	 Ёжн  √—÷ «б—«»Ў…
GUILDLAND_ABANDON_TEXT1	еб  —нѕ «б ќбн Џд √—÷ «б—«»Ў…њ
GUILDLAND_ABANDON_TEXT2	еб √д  г √яѕ √дя  —нѕ «б ќбн Џд √—÷ «б—«»Ў…њ
GUILDLAND_ABANDON_TEXT3	бёѕ  г ≈“«б… г” жѕЏ «б—«»Ў… жћгнЏ «бг»«дн.
GUILDLAND_ACCEPT	дЏг
GUILDLAND_DONTHAVE_LAND	≈дя б«  гбя √н √—÷ —«»Ў….
GUILDLAND_NOT	ябш«
GUILDLIST_APPLICANT	еб  —џ» Ён  ёѕнг Ўб» «б«д÷г«г бб—«»Ў…њ
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	«бЏбж бн” 12 »я”б
GUILDMARK_UPLOADER_ERROR_16_WIDTH	«бЏ—÷  бн” 16 »я”б
GUILDMARK_UPLOADER_ERROR_64_WIDTH	≈д «бЏ—÷ √ёб гд 64 »ня”б
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	д”»… «бЏбж бн”  128 »я”б
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	≈д е–е «ббЏ»… б«  ѕЏг е–е «б’ж—….
GUILDMARK_UPLOADER_ERROR_PATH	«б—ћ«Ѕ дёб «бгЏЎн«  ≈бм «бгбЁ Ён metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	бг н г «ќ н«— √н гбЁ бб’ж—….
GUILDWAR_ALL	гЏ«—я (гЏя.)
GUILDWAR_CTF_TITLE	ё «б «б√Џб«г
GUILDWAR_DRAW	 Џ«ѕб«  ( Џ.)
GUILDWAR_GAINSCORE_FIFTY	50 дёЎ…
GUILDWAR_GAINSCORE_HUNDRED	100 дёЎ…
GUILDWAR_GAINSCORE_THIRTY	30 дёЎ…
GUILDWAR_GAMETIME_SIXTY	60 ѕёнё…
GUILDWAR_GAMETIME_TEN	10 ѕё«∆ё
GUILDWAR_GAMETIME_THIRTY	30 ѕёнё…
GUILDWAR_INPUT_OTHERGUILD	«б—ћ«Ѕ ≈ѕќ«б «б—«»Ў… «бќ’г.
GUILDWAR_LADDER	дё«Ў «б — н»
GUILDWAR_LIMIT_MEMBER_FIVE	√ѕдм Џѕѕ гд «бг‘«—янд г”гжЌ »е еж 5.
GUILDWAR_LOSE	е“«∆г (е“.)
GUILDWAR_NORMAL_TITLE	гнѕ«д «бё «б
GUILDWAR_OVER_MEMBERCOUNT	ж’б  «бЌѕ «б√ё’м «бг”гжЌ »е гд «б√Џ÷«Ѕ.
GUILDWAR_QUESTION_LINE_1	√Џбд  «б—«»Ў… %s «бЌ—» Џбм —«»Ў я.
GUILDWAR_QUESTION_LINE_2	еб  ё»бњ (%s)
GUILDWAR_RANKING	— »…
GUILDWAR_RECODE_ALL	%d гЏя.° %d «д .° %d е“.° %d  Џ.
GUILDWAR_SELECT_MEMBER_COUNT	«ќ — Џѕѕ «бг‘«—янд.
GUILDWAR_TYPE_DEFENSE	ё «б «бѕ—жЏ
GUILDWAR_TYPE_TIGER	гЏ—я… «б≈»«ѕ…
GUILDWAR_TYPE_TIME	ећжг “гдн
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	”«Ќ… «бЌ—»
GUILDWAR_WIN	«д ’«—«  («д .)
GUILDWAR_WIN_FIVE	ќг” ћжб« 
GUILDWAR_WIN_ONE	ћжб…
GUILDWAR_WIN_THREE	Ћб«Ћ ћжб« 
GUILDWINDOW_BUTTON_BANKGOLDINFO	”ћб г” жѕЏ «б—«»Ў…
GUILDWINDOW_BUTTON_BASEABANDON	 Ёжн  √—÷ «б—«»Ў…
GUILDWINDOW_BUTTON_BASEDEAL	»нЏ √—÷ «б—«»Ў…
GUILDWINDOW_BUTTON_BOARD	г–я—«  ќ«’… »«б—«»Ў…
GUILDWINDOW_BUTTON_CHANGEMASTER	 џнн— ё«∆ѕ «б—«»Ў…
GUILDWINDOW_BUTTON_DECLARE	≈Џб«д «бЌ—»
GUILDWINDOW_BUTTON_DONATE	«б »—Џ
GUILDWINDOW_BUTTON_GOLDIN	≈нѕ«Џ
GUILDWINDOW_BUTTON_GOLDOUT	”Ќ»
GUILDWINDOW_BUTTON_GRADE	≈ѕ«—… «бЌёжё
GUILDWINDOW_BUTTON_GUILDLIST	б«∆Ќ… «б—«»Ў…
GUILDWINDOW_BUTTON_HEALGSP	«” —ћ«Џ ёж… «б днд
GUILDWINDOW_BUTTON_INFO	гЏбжг«  Џд «б—«»Ў…
GUILDWINDOW_BUTTON_LANDINFO	гЏбжг«  Џд «б√—÷
GUILDWINDOW_BUTTON_MARK	 Ќгнб Џб«г… «б—«»Ў…
GUILDWINDOW_BUTTON_MEMBER	«б√Џ÷«Ѕ
GUILDWINDOW_BUTTON_OFFER	 »—Џ »«бќ»—… EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Ќ–Ё Џ÷ж
GUILDWINDOW_BUTTON_SKILL	ге«—«  «б—ж«»Ў
GUILDWINDOW_BUTTON_SYMBOL	 Ќгнб Џб«г… «б—«»Ў…
GUILDWINDOW_BUY_GUILD_LAND	‘—«Ѕ √—÷
GUILDWINDOW_CHANGE_BLACKSMITH	 џнн— «б ќ’’
GUILDWINDOW_CHANGE_OBJECT	 ћѕнѕ
GUILDWINDOW_CHANGE_SMELTER	≈Џ«ѕ… »д«Ѕ «бЁ—д
GUILDWINDOW_CREATE_OBJECT	»д«Ѕ г»дм
GUILDWINDOW_DEAL_GUILD_LAND	»нЏ «б√—÷
GUILDWINDOW_GRADE_BANK	нгяде «” ќѕ«г »дя «б—«»Ў… жг” жѕЏ «б—«»Ў…
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	нгяде Ќ–Ё Џ÷ж гд √Џ÷«Ѕ «б—«»Ў…њ
GUILDWINDOW_GRADE_GRADENAME	«”г «б— »…
GUILDWINDOW_GRADE_GRADENUMBER	—ёг «б— »…
GUILDWINDOW_GRADE_GUILDWAR	нгяде «ќ н«— «б√Џ÷«Ѕ «бг”гжЌ бег «бг‘«—я… Ён «бё «б.
GUILDWINDOW_GRADE_INVITEAUTHORITY	нгяде ÷г б«Џ»нд ¬ќ—нд ≈бм «б—«»Ў…
GUILDWINDOW_GRADE_NOTICEAUTHORITY	нгяде ≈б’«ё «бг–я—«  «бќ«’… »«б—«»Ў…
GUILDWINDOW_GRADE_SKILLAUTHORITY	нгяде «” Џг«б ге«—«  «б—ж«»Ў
GUILDWINDOW_INFO_LEVEL5	+5% EXP Џбм  »—Џ «б—«»Ў…
GUILDWINDOW_INFO_LEVEL10	н—ЁЏ «бЏѕѕ «б√ё’м бб√Џ÷«Ѕ
GUILDWINDOW_INFO_LEVEL15	 ќЁн÷ Џбм «б”Џ—: ёж… «б днд
GUILDWINDOW_INFO_LEVEL20	»дя: ≈ЏЁ«Ѕ ÷—«∆»н
GUILDWINDOW_LAND_TAX	«б≈нћ«—
GUILDWINDOW_LIST_ALL	ћгнЏ «б≈г»—«Ўж—н« 
GUILDWINDOW_LIST_ALREADY_REGISTER	[—«»Ў…] бёѕ ёѕшг  Ўб» «б«д÷г«г гд ё»б.
GUILDWINDOW_LIST_APPLICANT_LIST	ё«∆г… «бг—‘Ќнд
GUILDWINDOW_LIST_CHRACTER_JOB	Ў»ё…
GUILDWINDOW_LIST_CHRACTER_LV	г” жм
GUILDWINDOW_LIST_CHRACTER_NAME	«”г «б‘ќ’н…
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	 ѕ—н»
GUILDWINDOW_LIST_EMPIRE_A	‘нд”ж
GUILDWINDOW_LIST_EMPIRE_B	‘ждћж
GUILDWINDOW_LIST_EMPIRE_C	ћндж
GUILDWINDOW_LIST_GUILDMEMBER	«б√Џ÷«Ѕ
GUILDWINDOW_LIST_GUILD_LIST	б«∆Ќ… «б—«»Ў…
GUILDWINDOW_LIST_GUILD_LV	г” жм
GUILDWINDOW_LIST_GUILD_NAME	—«»Ў…
GUILDWINDOW_LIST_INPUT_GUILDNAME	[—«»Ў…] «б—ћ«Ѕ ≈ѕќ«б «”г «б—«»Ў….
GUILDWINDOW_LIST_LADDER	дё«Ў «б — н»
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[—«»Ў…] бг  д‘— е–е «б—«»Ў… √н… ≈Џб«д.
GUILDWINDOW_LIST_PROMOTE_GUILD	Ўб» «д÷г«г
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	б«∆Ќ… «б—«»Ў…
GUILDWINDOW_LIST_RANKING	«б— »…
GUILDWINDOW_LIST_RANKING_COUNT	«б— »…
GUILDWINDOW_LIST_REGISTER	«д÷г
GUILDWINDOW_LIST_REGISTER_GUILD	Ўб» «д÷г«г бб—«»Ў…
GUILDWINDOW_LIST_SEARCH	»ЌЋ
GUILDWINDOW_LIST_SELECT_GUILD	[—«»Ў…] «б—ћ«Ѕ «ќ н«— —«»Ў… б ёѕнг Ўб» «б«д÷г«г.
GUILDWINDOW_PROMOTE_REFRESH	≈‘е«—
GUILDWINDOW_PROMOTE_REGISTER	≈‘е«—
GUILDWINDOW_SP_RECOVER	ёж… «б шднд «б«”Ўж—н
GUILDWINDOW_UPGRADE_ALTEROFPOWER	 ж”нЏ «бг–»Ќ
GUILDWINDOW_UPGRADE_GUILDBANK	 ж”нЏ «б»дя
GUILD_ATTENDANCE_FAIL_ALREADY	бёѕ ‘«—я  »«бЁЏб «бнжг.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	б« нгядя «бг‘«—я… «б¬д.   г ≈Џ«ѕ…  Џннд «бг‘«—я… ѕ«∆гр« Ён «б”«Џ… 5:00.
GUILD_BANKINFO_CLOSE	√џбё
GUILD_BANKINFO_NAME	Џ÷ж
GUILD_BANKINFO_TYPE	√‘н«Ѕ/Џгб…
GUILD_BANKINFO_USETYPE	Џгбн…
GUILD_BANK_CLOSE	√џбё
GUILD_BANK_INFO	”ћб г” жѕЏ «б—«»Ў…
GUILD_BOARD_ID	Џ÷ж
GUILD_BOARD_TEXT	—”«б…
GUILD_BUILDING_FIX_CHANGE	еб  —нѕ Ќё«  џнн— «бгжёЏњ
GUILD_BUILDING_FIX_CHANGE_GOLD	«б”Џ—: 1.000.000 н«дџ!
GUILD_BUILDING_FIX_DELETE	еб  —нѕ Ќё« Ќ–Ё е–« «б‘нЅњ
GUILD_BUILDING_FIX_NEED_BUILDING	б« жћжѕ бг»«дн.
GUILD_BUILDING_GRADE	— »…
GUILD_BUILDING_LOG_PLUS	ћ–Џ+
GUILD_BUILDING_NAME	«”г «бг»дм
GUILD_BUILDING_PLY_PLUS	ќ‘» —ё«∆ён+
GUILD_BUILDING_SMELT_STONE	Ќћ— «бџгж÷
GUILD_BUILDING_STONE_PLUS	Ќћ— «б√”«”+
GUILD_CANNOT_HEAL_GSP_ANYMORE	«г б√  Ў«ё… ‘»Ќ «б днд ≈бм ¬ќ—е«.
GUILD_CHANGEMASTER_TEXT1	√’»Ќ «бё«∆ѕ «бћѕнѕ: %s
GUILD_CHANGEMASTER_TEXT2	еб  —нѕ  Џннд ё«∆ѕ ћѕнѕ бб—«»Ў…њ
GUILD_CHANGEMASTER_TEXT3	еб √д  г √яѕ «дя  —нѕ  ”бнг
GUILD_CHANGEMASTER_TEXT4	гд’» ё«∆ѕ «б—«»Ў…њ
GUILD_COMMENT	«я »
GUILD_CREATE_ERROR_INSULT_NAME	«”г «б—«»Ў… џн— г”гжЌ »е.
GUILD_DEFAULT_GRADE	√Џ÷«Ѕ «б—«»Ў…
GUILD_DELETE	«Ќ–Ё
GUILD_DEPOSIT	жѕ«∆Џ
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	бн” бѕня  »—Џ«  я«Ён….
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	ё«∆г… «бћ—ѕ «бќ«’… »я гг б∆…. б« нгядя «б »—Џ.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	нћ» √д  яжд ёѕ »бџ  «бг” жм 30 Џбм «б√ёб бб »—Џ.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	бн” бѕня г« няЁн гд г–я—«  «б »—Џ «бг ж”Ў…!
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	бн” бѕня н«дџ я«Ёт.
GUILD_DONATE_FAIL_TIME	б« нгядя «б »—Џ ќб«б 24 ”«Џ… гд ѕќжбя бб—«»Ў….
GUILD_DONATE_QUESTION_HIGH	еб  —џ» Ён  ёѕнг  »—Џ я»н—њ
GUILD_DONATE_QUESTION_MIDDLE	еб  —џ» Ён  ёѕнг  »—Џ г ж”Ўњ
GUILD_DONATE_QUESTION_NORMAL	еб  —џ» Ён  ёѕнг  »—Џ ’џн—њ
GUILD_DO_YOU_HEAL_GSP	еб  —џ» гё«»б %d гд «бн«дџ Ён «” —ћ«Џ %d гд ‘»Ќ «б дндњ
GUILD_DO_YOU_JOIN	 ё«г  »ѕЏж я. еб  —џ» Ён «б«д÷г«г ≈бм «б—«»Ў…њ
GUILD_DRAGONLAIR_MIN	ѕёнё…
GUILD_DRAGONLAIR_PARTY_ALL	б«∆Ќ… «бг ’ѕ—нд «бЏ«г…
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	«» ѕ«Ѕ гд «бг— »… 11: 100 џ«н«
GUILD_DRAGONLAIR_PARTY_LINE_HELP	г”«Џѕ…
GUILD_DRAGONLAIR_PARTY_LINE_ONE	«бг— »… 1: 400 џ«н«
GUILD_DRAGONLAIR_PARTY_LINE_THREE	«бг— »… 4 ≈бм 10: 200 џ«н«
GUILD_DRAGONLAIR_PARTY_LINE_TWO	«бг— »… 2 ≈бм 3: 300 џ«н«
GUILD_DRAGONLAIR_PARTY_MEMBER	«б√Џ÷«Ѕ
GUILD_DRAGONLAIR_PARTY_NOW	б«∆Ќ… «бг ’ѕ—нд «б√”»жЏн…
GUILD_DRAGONLAIR_PARTY_PAST	б«∆Ќ… «бг ’ѕ—нд «б”«»ё…
GUILD_DRAGONLAIR_PARTY_TIME	«бжё 
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	гя«Ё√…
GUILD_DRAGONLAIR_RANKING_FAIL	Ё‘б г!
GUILD_DRAGONLAIR_RANKING_NONE	ћѕнѕ
GUILD_DRAGONLAIR_RANKING_SUCCESS	дћЌ г!
GUILD_DRAGONLAIR_SECOND	Ћ«дн…
GUILD_EMPTY_AREA	√—÷ ќ«бн…
GUILD_ENEMY_GUILD_NAME	«”г «б—«»Ў… «бќ’г
GUILD_FACILITY	г»дм ћ«д»н
GUILD_GEM	Ќћ— я—нг
GUILD_HEADQUARTER	«бг»дм «б—∆н”н
GUILD_HEAL_GSP	≈Џ«ѕ… ‘»Ќ «б днд
GUILD_INFO_ENEMY_GUILD_EMPTY	б« нжћѕ
GUILD_MARK_NOT_ENOUGH_LEVEL	√ѕдм г” жм гЎбж» 3
GUILD_MARK_UPLOAD_NOTICE	√—ћжя «д ў— бЌў… Ќ м   гяд гд  ”ћнб ‘Џ«— «б—«»Ў….
GUILD_MEMBEROUT_AUTH	б« нгядя ≈“«б… «б√Џ÷«Ѕ.
GUILD_MEMBEROUT_NOMAL	еб  —нѕ ≈“«б… е–« «бЏ÷жњ
GUILD_MEMBER_JOB	Ў»ё…
GUILD_MEMBER_KNIGHT	гё« б
GUILD_MEMBER_LEVEL	г” жм
GUILD_MEMBER_NAME	Џ÷ж
GUILD_MEMBER_RANK	— »…
GUILD_MEMBER_SPECIFIC_GRAVITY	дё«Ў «бќ»—… EXP «бгх »—шЏ »е«
GUILD_NAME	«”г «б—«»Ў…
GUILD_NOT_ENOUGH_MATERIAL	б«  гбя гж«ѕ »д«Ѕ я«Ён… бе–« «бг»дм.
GUILD_NOT_ENOUGH_MONEY	б«  гбя н«дџ я«Ёт б»д«Ѕ е–« «бг»дм.
GUILD_NO_NOTICE_PERMISSION	≈дя џн— гхƒеб б ёѕнг ≈Џб«дт г«.
GUILD_OBJECT	√‘н«Ѕ
GUILD_OBJECT_POSSIBLE_NEWWORLD	е–« «бг»дм г «Ќ ЁёЎ Ён ё«—… нже«—«.
GUILD_OFFER_EXP	«” Ћг«— «бќ»—…
GUILD_SELECT_ONE	≈ќ — Џ÷ж «б—«»Ў….
GUILD_SHORT_EXP	Џѕѕ дё«Ў «бќ»—… џн— я«Ёт.
GUILD_SITE_AUCTION_END_TIME	г“«ѕ «б√—«÷н: %02d/%02d («б‘е—/«бнжг) Ён  г«г «б”«Џ… %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	г“«ѕ «б√—«÷н: N/A
GUILD_SITE_AUCTION_INFO	«б√—÷ «бгЏ—ж÷…: %s / %d°%d
GUILD_SITE_AUCTION_INFO_DEFAULT	«б√—÷ «бгЏ—ж÷…: N/A
GUILD_SITE_AUCTION_MAP_INFO	«б «—нќ («б‘е—/«бнжг): %02d/%02d° «бжё : «б”«Џ… %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	 г  ёѕнг ћгнЏ «бЏ—ж÷.
GUILD_SITE_AUCTION_STATE_REGIST	 г Ён %s Џ— «б√—÷ %s°%s ббг“«ѕ. нгяд ЁёЎ бё«∆ѕ «б—«»Ў… «б ”ћнб бг“«ѕ «б√—«÷н.
GUILD_SITE_AUCTION_STATE_RUN	нд ен г“«ѕ «б√—«÷н Ён: %02d/%02d («б‘е—/«бнжг) Ён  г«г «б”«Џ… %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	”н»ѕ√ г“«ѕ «б√—«÷н Ён: %02d/%02d («б‘е—/«бнжг) Ён  г«г «б”«Џ… %02d:%02d бб√—÷ %s° «бж«ёЏ… Ён %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	«б ќбн «б бё«∆н Џд «б√—÷: %s
GUILD_SITE_TAX_INFO	”н г «б ќбн Џд √—÷ «б—«»Ў… Ён %s. ”н г Ќ–Ё ћгнЏ «б»джѕ Ён г” жѕЏ «б—«»Ў….
GUILD_TILE_BASEINFO	гЏбжг«  Џд «б√—÷
GUILD_TILE_BOARD	г–я—«  ќ«’… »«б—«»Ў…
GUILD_TILE_GRADE	≈ѕ«—… «бЌёжё
GUILD_TILE_INFO	гЏбжг«  «б—«»Ў…
GUILD_TILE_MEMBER	«б√Џ÷«Ѕ
GUILD_TILE_SKILL	ге«—«  «б—ж«»Ў
GUILD_USE_MASTER_ONLY	≈д е–« «бЌё еж гд гбя ё«∆ѕ «б—«»Ў… ЁёЎ.
GUILD_VILLAGE_01	гн—н«дџ
GUILD_VILLAGE_02	”ждџ»«
GUILD_VILLAGE_03	ѕ«н«гн
GUILD_WAR1	гдЎё… Ќ—» «б—«»Ў…
GUILD_WAR2	гдЎё… Ќ—» «б—«»Ў…
GUILD_WAR3	гдЎё… Ќ—» «б—«»Ў…
GUILD_WAR4	гдЎё… Ќ—» «б—«»Ў…
GUILD_WAR_GAINSCORE_FIFTY	50 дёЎ…
GUILD_WAR_GAINSCORE_HUNDRED	100 дёЎ…
GUILD_WAR_GAINSCORE_THIRTY	30 дёЎ…
GUILD_WAR_GAMETIME_SIXTY	60 ѕёнё…
GUILD_WAR_GAMETIME_TEN	10 ѕё«∆ё
GUILD_WAR_GAMETIME_THIRTY	30 ѕёнё…
GUILD_WAR_LIMIT_30MIN	«бжё : 30 ѕёнё…
GUILD_WAR_REWARD_POTION	гя«Ё√…: ”нЌ’б «бЁ«∆“ Џбм ћ—Џ
GUILD_WAR_SELECT_WAR	«ќ н«— джЏн… «бё «б
GUILD_WAR_TYPE_DEFENSE	ё «б «бѕ—жЏ
GUILD_WAR_TYPE_DIE	”«Ќ… «бЌ—»
GUILD_WAR_TYPE_FLAG	ё «б «б√Џб«г
GUILD_WAR_TYPE_NORMAL	гнѕ«д «бё «б
GUILD_WAR_TYPE_TIGER	гЏ—я… «б≈»«ѕ…
GUILD_WAR_TYPE_TIME	ећжг “гдн
GUILD_WAR_USE_BATTLE_MAP	«бгя«д: ”«Ќ… «бЌ—» бб—«»Ў…
GUILD_WAR_USE_NORMAL_MAP	гя«д: ќ—нЎ… Џ«ѕн…
GUILD_WAR_WIN_CHECK_SCORE	” Ёж“ «б—«»Ў… «б н Ќ’б  Џбм √я»— Џѕѕ гд «б«д ’«—«  »«бЌ—».
GUILD_WAR_WIN_FIVE	ќг” ћжб« 
GUILD_WAR_WIN_ONE	ћжб…
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	«” жбн Џбм Џбг «бќ’г
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	жќ–е ≈бм гё—я.
GUILD_WAR_WIN_THREE	Ћб«Ћ ћжб« 
GUILD_WAR_WIN_WIPE_OUT_GUILD	Џбня «бё÷«Ѕ Џбм ћгнЏ «бќ’жг бян  Ёж“.
GUILD_WITHDRAW	«д”Ќ«»
GUILD_YOU_DO_NOT_JOIN	≈дя б«  д гн ≈бм √н —«»Ў….
HACK_USER_MESSAGE	е–е «бгн“… џн— г «Ќ… б√де  г «бЏЋж— Џбм »—д«гћ џ‘.
HORSE_HEALTH0	гн 
HORSE_HEALTH1	нгж  ћжЏ«р
